tcp.time_delta,tcp.len,mqtt.dupflag,mqtt.retain,tcp_FIN,tcp_PSH,mqtt.qos,mqtt_len_log,mqtt.payload_entropy,mqtt.topic.len,clientid,label
9.872430000,89,0,0,0,1,1,4.477336814478207,4.639939157881003,21,TempSensor_R1_1,0
9.870809000,90,0,0,0,1,1,4.48863636973214,4.671901654332814,21,TempSensor_R1_2,0
4.872097000,90,0,0,0,1,1,4.48863636973214,4.584444908232386,21,TempSensor_R1_3,0
9.998620000,90,0,0,0,1,1,4.48863636973214,4.671901654332813,21,TempSensor_R1_1,0
4.997012000,90,0,0,0,1,1,4.48863636973214,4.671901654332813,21,TempSensor_R1_3,0
9.999462000,90,0,0,0,1,1,4.48863636973214,4.6084095908407505,21,TempSensor_R1_2,0
4.998982000,90,0,0,0,1,1,4.48863636973214,4.715630027383027,21,TempSensor_R1_3,0
6.365249000,74,0,0,0,1,1,4.290459441148391,4.345175521464347,20,DoorSensor_E2_2,0
9.999521000,89,0,0,0,1,1,4.477336814478207,4.56324742397514,21,TempSensor_R1_1,0
4.998962000,90,0,0,0,1,1,4.48863636973214,4.683883995636996,21,TempSensor_R1_3,0
1.045774000,68,0,0,0,1,0,4.204692619390966,4.324309452719443,21,Meter_P3_2,0
6.587323000,68,0,0,0,1,0,4.204692619390966,4.324309452719443,21,Meter_P3_1,0
5.945263000,74,0,0,0,1,1,4.290459441148391,4.345175521464347,20,DoorSensor_E2_2,0
9.999270000,90,0,0,0,1,1,4.48863636973214,4.7156300273830265,21,TempSensor_R1_2,0
4.997488000,90,0,0,0,1,1,4.48863636973214,4.683883995636995,21,TempSensor_R1_3,0
2.984678000,68,0,0,0,1,0,4.204692619390966,4.388376603932547,21,Meter_P3_2,0
5.340464000,68,0,0,0,1,0,4.204692619390966,4.388376603932547,21,Meter_P3_1,0
2.747699000,68,0,0,0,1,0,4.204692619390966,4.324309452719443,21,Meter_P3_2,0
9.998245000,90,0,0,0,1,1,4.48863636973214,4.683883995636995,21,TempSensor_R1_1,0
4.998363000,90,0,0,0,1,1,4.48863636973214,4.7036476860788445,21,TempSensor_R1_3,0
1.725998000,68,0,0,0,1,0,4.204692619390966,4.388376603932547,21,Meter_P3_2,0
2.018196000,68,0,0,0,1,0,4.204692619390966,4.388376603932547,21,Meter_P3_2,0
27.075779000,92,0,0,0,1,1,4.51085950651685,4.835690520709708,20,DoorSensor_E2_1,0
4.831729000,68,0,0,0,1,0,4.204692619390966,4.4348882318395235,21,Meter_P3_1,0
9.997308000,90,0,0,0,1,1,4.48863636973214,4.671901654332813,21,TempSensor_R1_2,0
4.998834000,90,0,0,0,1,1,4.48863636973214,4.7791220908750915,21,TempSensor_R1_3,0
4.971145000,68,0,0,0,1,0,4.204692619390966,4.388376603932547,21,Meter_P3_2,0
14.013996000,74,0,0,0,1,1,4.290459441148391,4.345175521464347,20,DoorSensor_E2_2,0
5.134783000,68,0,0,0,1,0,4.204692619390966,4.4348882318395235,21,Meter_P3_1,0
9.999504000,90,0,0,0,1,1,4.48863636973214,4.7156300273830265,21,TempSensor_R1_1,0
2.061407000,68,0,0,0,1,0,4.204692619390966,4.277797824812466,21,Meter_P3_2,0
4.999191000,90,0,0,0,1,1,4.48863636973214,4.703647686078845,21,TempSensor_R1_3,0
2.018374000,68,0,0,0,1,0,4.204692619390966,4.388376603932547,21,Meter_P3_2,0
9.998670000,90,0,0,0,1,1,4.48863636973214,4.7036476860788445,21,TempSensor_R1_2,0
4.998421000,90,0,0,0,1,1,4.48863636973214,4.659919313028631,21,TempSensor_R1_3,0
4.090461000,68,0,0,0,1,0,4.204692619390966,4.388376603932547,21,Meter_P3_2,0
7.391198000,68,0,0,0,1,0,4.204692619390966,4.34186497602557,21,Meter_P3_1,0
3.092767000,68,0,0,0,1,0,4.204692619390966,4.34186497602557,21,Meter_P3_1,0
9.999295000,90,0,0,0,1,1,4.48863636973214,4.703647686078845,21,TempSensor_R1_1,0
